"","Row","Study_No","Arm_No","No of arms","StudyID","Study_year","Year","Drug","Dose_intended_min","Dose_intended_max","Dosing_schedule","Dose_delivered_mean","Dose_range","Sponsored by this drug company or author employed by the drug company","Investigational_Comparator","No_randomised","Dropouts_total","Dropouts_sideeffects","N compimputed","Mean","SD","Responders","N comp+imputed","Unpublished","No_of_arms","Recruitment","RCT_type1","RCT_type2","RCT_type3","Treatment_setting","Diagnostic_criteria","Patient_status","Scale_for_threshold","Threshold_score","Placebo_run_in","Length of randomised comparison in wks","Rescue medications","Sequence_generation","Allocation_concealment","Blinding_participant","Blinding_therapist","Blinding_assessor","Unpublished_data","Selective_reporting_bias","Attrition_bias_by_study_for_respnse","Overall_study_RoB","Age_mean","%_Female","Imputation","Scale","Mean__1","Unpublished__1","No_of_arms__1","Recruitment__1","RCT_type1__1","RCT_type2__1","RCT_type3__1","Treatment_setting__1","Diagnostic_criteria__1","Patient_status__1","Scale_for_threshold__1","Threshold_score__1","Placebo_run_in__1","Length of randomised comparison in wks__1","Rescue medications__1","Sequence_generation__1","Allocation_concealment__1","Blinding_participant__1","Blinding_therapist__1","Blinding_assessor__1","Unpublished_data__1","Selective_reporting_bias__1","Attrition_bias_by_study_for_respnse__1","Overall_study_RoB__1"
"431","f07",180,3,4,"Study 62a (FDA) - MILD depression (Dunlop1990)",NA,"unpublished","fluoxetine",20,20,"Fixed",20,"Licensed","Yes","Investigational",107,37,8,103,-6.23,8.45,41,103,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk","40","0.61699999999999999","Others","HAMD21",16.99,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","20","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","High risk"
"432","f08",180,4,4,"Study 62a (FDA) - MILD depression (Dunlop1990)",NA,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",56,19,5,56,-5.82,8.45,21,56,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","20","Yes",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk","39","0.5","Others","HAMD21",17.41,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","20","Yes",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Low risk of bias","Low risk of bias","high","Moderate risk"
"433","f09",181,1,4,"Study 62b (FDA) - MODERATE depression",NA,"unpublished","fluoxetine",60,60,"Fixed",60,"Licensed","Yes","Investigational",105,58,30,103,-7.2,9.03,30,103,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk","39.9","0.58099999999999996","Others","HAMD21",24.2,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk"
"434","f10",181,2,4,"Study 62b (FDA) - MODERATE depression",NA,"unpublished","fluoxetine",40,40,"Fixed",40,"Licensed","Yes","Investigational",103,41,12,97,-9.58,8.44,37,97,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk","41.2","0.56299999999999994","Others","HAMD21",24.19,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk"
"435","f11",181,3,4,"Study 62b (FDA) - MODERATE depression",NA,"unpublished","fluoxetine",20,20,"Fixed",20,"Licensed","Yes","Investigational",100,38,8,97,-9.78,8.47,37,97,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk","39.4","0.6","Others","HAMD21",24.72,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","High risk"
"436","f12",181,4,4,"Study 62b (FDA) - MODERATE depression",NA,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",48,21,6,48,-5.69,8.65,11,48,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","Moderate risk","38.6","0.5","Others","HAMD21",24.25,"Yes",4,NA,"Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-III","Outpatients only","HAMDunspecified","14","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Low risk of bias","high","Moderate risk"
"483","f59",205,1,2,"Heiligenstein1994",1994,"1994","fluoxetine",20,20,"Fixed",20,"Licensed","Yes","Investigational",46,14,2,45,-12.3,7.76,25,41,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk","41.6",NA,"Others","HAMD17",21.1,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk"
"484","f60",205,2,2,"Heiligenstein1994",1994,"1994","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",43,10,0,43,-8.52,7.76,17,42,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk","39.200000000000003",NA,"Others","HAMD17",21.6,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",8,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Low risk"
"485","f61",206,1,2,"Lam1995",1995,"1995","fluoxetine",20,20,"Fixed",20,"Licensed","Yes","Investigational",36,NA,2,36,8.4,6.8,23,34,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",5,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias",NA,"Moderate risk","40.9",NA,"Others","HAMD21",18.7,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",5,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias",NA,"Moderate risk"
"486","f62",206,2,2,"Lam1995",1995,"1995","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",32,NA,1,32,10.7,7.1,13,32,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",5,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias",NA,"Moderate risk","38.1",NA,"Others","HAMD21",18.3,"No",2,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","15","Yes",5,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias",NA,"Moderate risk"
"489","f65",208,1,2,"Sramek1995",1995,"1995","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",72,12,3,72,-8.6,6.3,14,72,"No",3,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-III-R","Other/Unclear/Not stated","HAMD24","21","Yes",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk","33.9","0.59722222199999997","Others","HAMD24",28.2,"No",3,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-III-R","Other/Unclear/Not stated","HAMD24","21","Yes",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk"
"490","f66",208,2,2,"Sramek1995",1995,"1995","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",72,9,4,70,-6.4,6.7,10,70,"No",3,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-III-R","Other/Unclear/Not stated","HAMD25","21","Yes",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk","33.9","0.59722222199999997","Others","HAMD24",27.5,"No",3,"North America","Parallel","Individual randomised","Single center","Other/Unclear/Not stated","DSM-III-R","Other/Unclear/Not stated","HAMD25","21","Yes",9,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk"
"499","f75",213,1,2,"Corrigan2000",2000,"2000","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",35,5,1,35,NA,NA,17,35,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk","42",NA,"OC","HAMD17",22,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk"
"500","f76",213,2,2,"Corrigan2000",2000,"2000","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",35,12,4,35,NA,NA,9,35,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk","42",NA,"OC","HAMD17",20.8,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Other/Unclear/Not stated","HAMD17","18","Yes",8,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","high","Moderate risk"
"506","f82",216,1,2,"LopezRodriguez2004",2004,"2004","fluoxetine",20,20,"Fixed",20,"Licensed","Unclear","Unclear",10,NA,NA,10,6,8.59,6,10,"No",4,"South America",NA,"Individual randomised","Single center","Primary care medical setting","DSM-IV","Outpatients only","HAMD","15","No",20,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias",NA,"Moderate risk","31.9",NA,"Others","HAMD21",17.27,"No",4,"South America",NA,"Individual randomised","Single center","Primary care medical setting","DSM-IV","Outpatients only","HAMD","15","No",20,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias",NA,"Moderate risk"
"507","f83",216,2,2,"LopezRodriguez2004",2004,"2004","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",10,NA,NA,10,14,8.59,3,10,"No",4,"South America",NA,"Individual randomised","Single center","Primary care medical setting","DSM-IV","Outpatients only","HAMD","15","No",20,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias",NA,"Moderate risk","31.9",NA,"Others","HAMD21",17.27,"No",4,"South America",NA,"Individual randomised","Single center","Primary care medical setting","DSM-IV","Outpatients only","HAMD","15","No",20,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Unclear risk of bias",NA,"Moderate risk"
"508","f84",217,1,2,"Hunter2010 (Study 1)",2010,"2010","fluoxetine",20,20,"Fixed",20,"Licensed","Yes","Investigational",14,NA,NA,NA,NA,NA,NA,NA,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"High risk","42.4","0.67900000000000005","MMRM","HAMD17",22.1,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"High risk"
"509","f85",217,2,2,"Hunter2010 (Study 1)",2010,"2010","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",14,NA,NA,NA,NA,NA,NA,NA,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk","42.4","0.67900000000000005","MMRM","HAMD17",22.1,"No",2,"North America","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated","DSM-IV","Outpatients only","HAMD17","16","Yes",8,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","High risk of bias",NA,"Moderate risk"
"512","f88",219,1,3,"NCT01808612",2013,"unpublished","fluoxetine",20,20,"Fixed",20,"Licensed","Yes","Investigational",169,15,8,168,-6.18,7.39,40,168,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Outpatients only",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","low","Moderate risk","40.5","0.49404761899999999","MMRM","HAMD21",NA,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Outpatients only",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","low","Moderate risk"
"513","f89",219,2,3,"NCT01808612",2013,"unpublished","fluoxetine",40,40,"Fixed",40,"Licensed","Yes","Investigational",84,7,4,83,-6.25,7.02,15,83,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Outpatients only",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","low","Moderate risk","39.6","0.397590361","MMRM","HAMD21",NA,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Outpatients only",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","low","Moderate risk"
"514","f90",219,3,3,"NCT01808612",2013,"unpublished","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",260,14,3,259,-6.91,7.89,72,259,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Outpatients only",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","low","Low risk","38.5","0.498069498","MMRM","HAMD21",NA,"Yes",3,"Asia","Parallel","Individual randomised","Multi-center","Other/Unclear/Not stated",NA,"Outpatients only",NA,NA,"Unclear",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","Low risk of bias","Low risk of bias","low","Low risk"
"515","f91",220,1,2,"Fava2005",2005,"2005","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",43,22,0,43,12.6,6.4,15,43,"No",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD17","16","Yes",12,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk","37.799999999999997",NA,"LOCF","HAMD17",19.9,"No",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD17","16","Yes",12,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk"
"516","f92",220,2,2,"Fava2005",2005,"2005","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",47,23,2,47,13.3,7.3,15,47,"No",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD17","16","Yes",12,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk","36.700000000000003",NA,"LOCF","HAMD17",19.6,"No",3,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD17","16","Yes",12,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","unclear","Moderate risk"
"517","f93",221,1,2,"Bjerkenstedt2005",2005,"2005","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",57,9,4,54,14.9,8.4,20,54,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD21","21","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk","50.4",NA,"LOCF","HAMD21",23.8,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD21","21","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk"
"518","f94",221,2,2,"Bjerkenstedt2005",2005,"2005","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",58,6,2,55,15.5,6.7,23,55,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD21","21","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk","51.4",NA,"LOCF","HAMD21",25.2,"No",3,"Europe","Parallel","Individual randomised","Multi-center","Primary care medical setting","DSM-IV","Outpatients only","HAMD21","21","Yes",6,"Unclear","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Low risk of bias","low","Low risk"
"519","f95",222,1,2,"Moreno2005",2005,"2005","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",20,NA,NA,20,6.6,5.1,11,20,"No",3,"South America","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD21","10","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias",NA,"Moderate risk","37.700000000000003","0.83","LOCF","HAMD21",15.41,"No",3,"South America","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD21","10","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias",NA,"Moderate risk"
"520","f96",222,2,2,"Moreno2005",2005,"2005","placebo",0,0,"Fixed",0,"Licensed","No","Comparator",26,NA,NA,26,10.6,8.04,11,26,"No",3,"South America","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD21","10","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias",NA,"Moderate risk","45.9","0.83","LOCF","HAMD21",16.49,"No",3,"South America","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Outpatients only","HAMD21","10","Yes",8,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias",NA,"Moderate risk"
"559","fl39",242,1,2,"Dalery2003",2003,"2003","fluvoxamine",100,100,"Fixed",100,"Licensed","Yes","Investigational",90,24,NA,86,10,7.52,53,86,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","17","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias","unclear","Moderate risk","42",NA,"Others","HAMD17",22.3,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","17","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias","unclear","Moderate risk"
"560","fl40",242,2,2,"Dalery2003",2003,"2003","fluoxetine",20,20,"Fixed",20,"Licensed","No","Comparator",94,20,NA,91,11.3,7.52,54,91,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","17","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias","unclear","Moderate risk","42.1",NA,"Others","HAMD17",22.2,"No",2,"Europe","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD17","17","Yes",6,"Yes","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","Unclear risk of bias","Unclear risk of bias","unclear","Moderate risk"
"561","fl41",243,1,2,"Rossini2005",2005,"2005","fluvoxamine",200,200,"Fixed",200,"Licensed","Unclear","Investigational",40,1,1,39,7.56,12.31,29,39,"No",2,"Europe","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Inpatients only","HAMD21","21","Unclear",7,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk","67.8",NA,"LOCF","HAMD21",31.23,"No",2,"Europe","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Inpatients only","HAMD21","21","Unclear",7,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk"
"562","fl42",243,2,2,"Rossini2005",2005,"2005","sertraline",150,150,"Fixed",150,"Licensed","Unclear","Comparator",48,3,3,45,11.27,11.33,28,45,"No",2,"Europe","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Inpatients only","HAMD21","21","Unclear",7,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk","68.2",NA,"LOCF","HAMD21",29.23,"No",2,"Europe","Parallel","Individual randomised","Single center","Secondary/Tertiary care medical setting","DSM-IV","Inpatients only","HAMD21","21","Unclear",7,"Yes","Low risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Stated but not tested","High risk of bias","Low risk of bias","low","Low risk"
"567","fl49",247,1,4,"Walczak1996",1996,"1996","fluvoxamine",50,50,"Fixed",50,"Licensed","Yes","Investigational",101,42,20,NA,NA,NA,NA,NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","High risk",NA,NA,NA,"HAMD21",NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","High risk"
"568","fl50",247,2,4,"Walczak1996",1996,"1996","fluvoxamine",100,100,"Fixed",100,"Licensed","Yes","Investigational",100,39,27,NA,NA,NA,NA,NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","High risk",NA,NA,NA,"HAMD21",NA,"No",5,"North America","Parallel","Individual randomised","Multi-center","Secondary/Tertiary care medical setting","DSM-III-R","Outpatients only","HAMD21","20","Yes",6,"No","Unclear risk of bias","Unclear risk of bias","Stated but not tested","Stated but not tested","Unclear risk of bias","High risk of bias","Unclear risk of bias","high","High risk"
